Country,Region,Province,Season,Date_ISO,Date,Meet,Venue,Event,Distance,Stroke,Rank,Canonical_Swimmer,Swimmer,Match_Score,Manual_Match,Club,Time,Time_Seconds,FINA_Points,Source_URL,Source_File,event_key
Spain,Comunitat Valenciana,Valencia,2025/26,2025-11-22,22/11/2025,2025_VAL_2LIGAALEVIN_XATIVA,Xàtiva,50m Freestyle,50.0,Freestyle,1.0,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,Club Deportivo Caxton College,30.78,30.78,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/2025_VAL_2LIGAALEVIN_XATIVA.pdf,2025_VAL_2LIGAALEVIN_XATIVA.pdf,50 free
,,,,2025-12-05,05/12/2025,Bulgarian Winter Nationals,,50m Backstroke,50.0,Backstroke,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,33.04,33.04,,https://www.swimcloud.com/swimmer/2335652/,manual,50 back
,,,,2025-12-05,05/12/2025,Bulgarian Winter Nationals,,50m Butterfly,50.0,Butterfly,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,34.19,34.19,,https://www.swimcloud.com/swimmer/2335652/,manual,50 fly
,,,,2025-12-05,05/12/2025,Bulgarian Winter Nationals,,100m Freestyle,100.0,Freestyle,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,1:07.39,67.39,,https://www.swimcloud.com/swimmer/2335652/,manual,100 free
,,,,2025-12-05,05/12/2025,Bulgarian Winter Nationals,,100m Backstroke,100.0,Backstroke,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,1:12.42,72.42,,https://www.swimcloud.com/swimmer/2335652/,manual,100 back
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,1.0,"SIMEONOV, Jack Hristov",,,,Club Deportivo Caxton College,01:22.04,82.03999999999999,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf,100 im
Spain,Comunitat Valenciana,Valencia,2025/26,2026-01-10,10/01/2026,Control Libre Alevín Invierno,Xirivella,100m Braza,,Breaststroke,2.0,"SIMEONOV, Jack Hristov",,,,Club Deportivo Caxton College,01:44.41,104.41,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/2025-2026_VLC_ControllibreAlevinInvierno_Xirivella.pdf,2025-2026_VLC_ControllibreAlevinInvierno_Xirivella.pdf,100 breast
,,,,2025-05-10,10/05/2025,World School Swimming Championships,London,200m Freestyle,200.0,Freestyle,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,2:33.13,153.13,,https://www.swimcloud.com/swimmer/3171045/,manual,200 free
,,,,2025-12-05,05/12/2025,Bulgarian Winter Nationals,,200m Backstroke,200.0,Backstroke,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,2:34.85,154.85,,https://www.swimcloud.com/swimmer/2335652/,manual,200 back
Spain,Comunitat Valenciana,Valencia,2025/26,2026-01-10,10/01/2026,Control Libre Alevín Invierno,Xirivella,200m Estilos,,Medley,2.0,"SIMEONOV, Jack Hristov",,,,Club Deportivo Caxton College,03:02.19,182.19,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/2025-2026_VLC_ControllibreAlevinInvierno_Xirivella.pdf,2025-2026_VLC_ControllibreAlevinInvierno_Xirivella.pdf,200 im
Spain,Comunitat Valenciana,Valencia,2025/26,2026-03-07,07/03/2026,4ª Jornada Liga Alevín,Benimamet,200m Braza,,Breaststroke,12.0,"SIMEONOV, Jack Hristov",,,,Club Deportivo Caxton College,03:42.60,222.6,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1692_RESULTBENIMA.pdf,1692_RESULTBENIMA.pdf,200 breast
Spain,Comunitat Valenciana,Valencia,2025/26,2025-11-22,22/11/2025,2025_VAL_2LIGAALEVIN_XATIVA,Xàtiva,400m Freestyle,400.0,Freestyle,2.0,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,Club Deportivo Caxton College,5:15.82,315.82,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/2025_VAL_2LIGAALEVIN_XATIVA.pdf,2025_VAL_2LIGAALEVIN_XATIVA.pdf,400 free
