event,course,canonical_swimmer,time,date,meet,venue,club,source,source_url
100m Backstroke,LCM,"SIMEONOV, Jack Hristov",1:17.18,2025-05-10,World School Swimming Championships,London,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/3171045/
100m Backstroke,SCM,"SIMEONOV, Jack Hristov",1:12.42,2025-12-05,Bulgarian Winter Nationals,Benimamet,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/2335652/
100m Breaststroke,SCM,"SIMEONOV, Jack Hristov",01:44.41,2026-01-10,Control Libre Alevín Invierno,Xirivella,Club Deportivo Caxton College,spain_master,
100m Freestyle,SCM,"SIMEONOV, Jack Hristov",1:07.39,2025-12-05,Bulgarian Winter Nationals,,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/2335652/
100m Medley,SCM,"SIMEONOV, Jack Hristov",01:22.04,2025-10-04,1ª Jornada Liga Benjamín y Alevín,Gandia,Club Deportivo Caxton College,spain_master,
200m Backstroke,SCM,"SIMEONOV, Jack Hristov",2:34.85,2025-12-05,Bulgarian Winter Nationals,Gandia,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/2335652/
200m Breaststroke,SCM,"SIMEONOV, Jack Hristov",03:42.60,2026-03-07,4ª Jornada Liga Alevín,Benimamet,Club Deportivo Caxton College,spain_master,
200m Freestyle,LCM,"SIMEONOV, Jack Hristov",2:33.13,2025-05-10,World School Swimming Championships,London,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/3171045/
200m Freestyle,SCM,"SIMEONOV, Jack Hristov",02:38.05,2026-01-11,Control Libre Alevín Invierno,Xirivella,Club Deportivo Caxton College,spain_master,
200m Medley,SCM,"SIMEONOV, Jack Hristov",03:02.19,2026-01-10,Control Libre Alevín Invierno,Xirivella,Club Deportivo Caxton College,spain_master,
400m Freestyle,SCM,"SIMEONOV, Jack Hristov",05:15.82,2025-11-22,2ª Jornada Liga Alevín,Xàtiva,Club Deportivo Caxton College,spain_master,
50m Backstroke,SCM,"SIMEONOV, Jack Hristov",33.04,2025-12-05,Bulgarian Winter Nationals,Xàtiva,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/2335652/
50m Butterfly,SCM,"SIMEONOV, Jack Hristov",34.19,2025-12-05,Bulgarian Winter Nationals,London,Club Deportivo Caxton College,manual,https://www.swimcloud.com/swimmer/2335652/
50m Freestyle,SCM,"SIMEONOV, Jack Hristov",00:30.78,2025-11-23,2ª Jornada Liga Alevín,Xàtiva,Club Deportivo Caxton College,spain_master,
