Country,Region,Province,Season,Date_ISO,Date,Meet,Venue,Event,Distance,Stroke,Rank,Canonical_Swimmer,Swimmer,Match_Score,Manual_Match,Club,Time,Time_Seconds,FINA_Points,Source_URL,Source_File
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,1,"BOURREAU LOPEZ, Kenneth","BOURREAU LOPEZ, Kenneth",100.0,No,C.N. Vinaros,1:22.88,82.88,198.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,2,"DIAZ LOPEZ, Andreu","DIAZ LOPEZ, Andreu",100.0,No,C.N. Vila-Real,1:25.98,85.98,177.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,3,"MACIA BENALOY, Max","MACIA BENALOY, Max",100.0,No,Club Deportivo Nados Castellon,1:27.56,87.56,168.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,5,"BARREDA MESADO, Pau","BARREDA MESADO, Pau",100.0,No,Club Deportivo Nados Castellon,1:31.80,91.8,145.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,6,"MARTI CABALLERO, Lluis","MARTI CABALLERO, Lluis",100.0,No,Vila-Swim Fondistas Club Natación,1:32.95,92.95,140.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,8,"ANGULLO QUINTAS, Santiago","ANGULLO QUINTAS, Santiago",100.0,No,C.N. Vila-Real,1:33.74,93.74000000000001,137.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,9,"PARRA BAYARRI, Mario","PARRA BAYARRI, Mario",100.0,No,C.N. Vila-Real,1:33.83,93.83,136.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,10,"RODA ALBERO, Llorenc","RODA ALBERO, Llorenc",100.0,No,C.N. Vinaros,1:35.97,95.97,127.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,11,"NADAL SOTO, Joel","NADAL SOTO, Joel",100.0,No,C.N. Vinaros,1:37.57,97.57,121.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
Spain,Comunitat Valenciana,Castellon,2025/26,2026-03-21,21/03/2026,4ª Jornada Liga Benjamin 4ª Alevin Castellon,Castellon,100m Backstroke,100,Backstroke,12,"MIRALLES CATALAN, Noah","MIRALLES CATALAN, Noah",100.0,No,Club Deportivo Nados Castellon,1:42.36,102.36,105.0,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/cas_21_4jornadaalevincastellon.pdf,cas_21_4jornadaalevincastellon.pdf
