Country,Region,Province,Season,Date_ISO,Date,Meet,Venue,Event,Distance,Stroke,Rank,Canonical_Swimmer,Swimmer,Match_Score,Manual_Match,Club,Time,Time_Seconds,FINA_Points,Source_URL,Source_File
,,,,2025-05-10,10/05/2025,World School Swimming Championships,London,100m Backstroke,100.0,Backstroke,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,1:17.18,77.18,,https://www.swimcloud.com/swimmer/3171045/,manual
,,,,2025-05-10,10/05/2025,World School Swimming Championships,London,200m Freestyle,200.0,Freestyle,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,2:33.13,153.13,,https://www.swimcloud.com/swimmer/3171045/,manual
,,,,2025-05-10,10/05/2025,World School Swimming Championships,London,50m Backstroke,50.0,Backstroke,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,34.87,34.87,,https://www.swimcloud.com/swimmer/3171045/,manual
,,,,2025-05-10,10/05/2025,World School Swimming Championships,London,50m Butterfly,50.0,Butterfly,,"SIMEONOV, Jack Hristov","SIMEONOV, Jack Hristov",100.0,No,External,34.33,34.33,,https://www.swimcloud.com/swimmer/3171045/,manual
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,7,"AGUIRRE ZAPATA, Leyre","AGUIRRE ZAPATA, Leyre",100.0,No,C.N. Xativa,1:40.34,100.34,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,21,"ALBENCA SENDRA, Aroa","ALBENCA SENDRA, Aroa",100.0,No,C.N. Bosco,1:52.44,112.44,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,5,"ALIAGA SEVILLA, Pablo",,,,C.N. Piscis-Mislata,01:35.53,95.53,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,5,"ALIAGA SEVILLA, Pablo","ALIAGA SEVILLA, Pablo",100.0,No,C.N. Piscis-Mislata,1:35.53,95.53,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,8,"ANTOLIN VILLAESCUSA, Javier","ANTOLIN VILLAESCUSA, Javier",100.0,No,C.N. Sax,1:42.13,102.13,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,10,"ARTECHE RUBIO, Axel",,,,C.N. Xativa,01:46.57,106.57,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,10,"ARTECHE RUBIO, Axel","ARTECHE RUBIO, Axel",100.0,No,C.N. Xativa,1:46.57,106.57,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,16,"BALLESTER SANJAIME, Edu",,,,C.N. Moncada,01:45.42,105.42,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin -Gandia-,Gandia,100m Medley,100.0,Medley,16,"BALLESTER SANJAIME, Edu","BALLESTER SANJAIME, Edu",100.0,No,C.N. Moncada,1:45.42,105.42,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,1,"BEFERULL POMBO, Pepe",,,,C.N. Neptuno-L´alcudia,01:26.66,86.66,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,1,"BEFERULL POMBO, Pepe","BEFERULL POMBO, Pepe",100.0,No,C.N. Neptuno-L´alcudia,1:26.66,86.66,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Xàtiva,100m Estilos,,Medley,8,"BELDA MICO, Julen",,,,C.N. Xativa,01:42.06,102.06,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín 1ª Alevín -Xativa-,Xativa,100m Medley,100.0,Medley,8,"BELDA MICO, Julen","BELDA MICO, Julen",100.0,No,C.N. Xativa,1:42.06,102.06,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1575_resxativa.pdf,1575_resxativa.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,4,"BENITEZ NORTES, Oriana","BENITEZ NORTES, Oriana",100.0,No,C.N. Tenis Elche,1:36.93,96.93,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Alicante,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamin 1ª Alevin Petrer,Petrer,100m Medley,100.0,Medley,5,"BERENGUER VALERO, Miguel","BERENGUER VALERO, Miguel",100.0,No,C.N. Petrer,1:40.25,100.25,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1577_Ali_2025_10_Prom1PETRER.pdf,1577_Ali_2025_10_Prom1PETRER.pdf
Spain,Comunitat Valenciana,Valencia,2025/26,2025-10-04,04/10/2025,1ª Jornada Liga Benjamín y Alevín,Gandia,100m Estilos,,Medley,17,"BUKHOBZA IDMOUHINE, Rayan",,,,C.N.E. Gandia,01:46.88,106.88,,https://www.fncv.es/archivos/natacion/competiciones/actas/cas/1574_resgandia.pdf,1574_resgandia.pdf
